MNO,RFNSA ID,Latitude,Longitude,New in 2023,3G,4G,5G,Co_funded,ABS_REMOTENESS
Optus,2000414,-33.858499,151.214456,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.864554,151.21694,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.864435,151.214604,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.863348,151.215899,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.858379,151.214681,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.863786,151.213144,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.862924,151.214334,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.858851,151.213912,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.86081,151.222123,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.862836,151.220798,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.864617,151.219787,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.865024,151.217882,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.86267,151.215483,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.864563,151.213354,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.865454,151.213443,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.866845,151.214618,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.867882,151.215986,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.868325,151.213618,N,N,Y,N,N,Major Cities of Australia
Optus,2000427,-33.863398,151.210514,N,N,Y,N,N,Major Cities of Australia
Optus,2000428,-33.867735,151.205076,N,N,Y,N,N,Major Cities of Australia
Optus,2000429,-33.868625,151.205919,N,N,Y,N,N,Major Cities of Australia
Optus,2000430,-33.876933,151.209592,N,N,Y,N,N,Major Cities of Australia
Optus,2000442,-33.878756,151.210159,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000444,-33.865739,151.211016,N,Y,Y,N,N,Major Cities of Australia
Optus,2000445,-33.878023,151.201401,N,Y,Y,N,N,Major Cities of Australia
Optus,2000446,-33.872649,151.198454,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000447,-33.857712,151.201766,N,Y,Y,N,N,Major Cities of Australia
Optus,2000450,-33.878767,151.209283,N,Y,Y,N,N,Major Cities of Australia
Optus,2000453,-33.85517495,151.210037,N,N,Y,Y,N,Major Cities of Australia
Optus,2000454,-33.85478,151.208547,N,N,Y,N,N,Major Cities of Australia
Optus,2000473,-33.881813,151.205503,N,N,Y,N,N,Major Cities of Australia
Optus,2000474,-33.88379252,151.2037874,N,N,Y,N,N,Major Cities of Australia
Optus,2000476,-33.87455,151.209199,N,N,Y,N,N,Major Cities of Australia
Optus,2000477,-33.86984,151.20672,N,N,Y,Y,N,Major Cities of Australia
Optus,2000587,-33.862478,151.209179,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000588,-33.85396154,151.2088208,N,N,Y,Y,N,Major Cities of Australia
Optus,2000625,-33.87585,151.20006,N,Y,Y,N,N,Major Cities of Australia
Optus,2000633,-33.865309,151.205079,N,N,Y,Y,N,Major Cities of Australia
Optus,2000642,-33.867451,151.208509,N,N,Y,N,N,Major Cities of Australia
Optus,2000643,-33.867639,151.210699,N,N,Y,N,N,Major Cities of Australia
Optus,2000649,-33.87724,151.20445,N,Y,Y,N,N,Major Cities of Australia
Optus,2000651,-33.856525,151.207417,N,N,Y,N,N,Major Cities of Australia
Optus,2000652,-33.855826,151.20718,N,N,Y,N,N,Major Cities of Australia
Optus,2000653,-33.857613,151.206231,N,N,Y,N,N,Major Cities of Australia
Optus,2000654,-33.858394,151.206008,N,N,Y,Y,N,Major Cities of Australia
Optus,2000655,-33.867637,151.204801,N,N,Y,N,N,Major Cities of Australia
Optus,2000663,-33.863203,151.202262,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000665,-33.863939,151.202789,N,N,Y,N,N,Major Cities of Australia
Optus,2000666,-33.86528,151.206535,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000699,-33.874462,151.207261,Y,N,Y,Y,N,Major Cities of Australia
Optus,2000702,-33.863441,151.206232,Y,N,Y,Y,N,Major Cities of Australia
Optus,2000704,-33.854635,151.20991,Y,N,Y,Y,N,Major Cities of Australia
Optus,2000729,-33.86876,151.21731,Y,Y,Y,Y,N,Major Cities of Australia
Optus,2006001,-33.888508,151.190693,N,Y,Y,N,N,Major Cities of Australia
Optus,2006003,-33.886208,151.187867,N,Y,Y,N,N,Major Cities of Australia
Optus,2006004,-33.886659,151.183834,N,N,Y,N,N,Major Cities of Australia
